uk;V2_1;V2_2;V2_3;V2_4;V2_5;V2_6;V2_7;V2_8;V2_9;V2_10;V2_11;V2_12;V2_13;V2_14;V2_15;V2_16;V2_17;V2_18;V2_19;V2_20;V2_21
"DSNGAH";0.0627530132049042;0.0671285419538926;0.0723249065709709;0.0775212711880492;0.0827176358051274;0.0879140004222057;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702
"D_LACt2";0.0627530132049042;0.0671285419538926;0.0723249065709709;0.0775212711880492;0.0827176358051274;0.0879140004222057;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702
"ECH";0.0627530132049042;0.0671285419538926;0.0723249065709709;0.0775212711880492;0.0827176358051274;0.0879140004222057;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702
"ENO";0.0627530132049042;0.0671285419538926;0.0723249065709709;0.0775212711880491;0.0827176358051274;0.0879140004222056;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702
"EX_2og(e)";0.0627530132049042;0.0671285419538926;0.0723249065709709;0.0775212711880492;0.0827176358051274;0.0879140004222056;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702
"EX_2os(e)";0.0627530132049042;0.0671285419538926;0.0723249065709709;0.0775212711880491;0.0827176358051274;0.0879140004222057;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702
"EX_4a-hthbp(e)";0.0627362705181079;0.0671117992670964;0.0723081638841747;0.0775045285012529;0.0827008931183312;0.0878972577354094;0.0882383991168522;0.0882383991168522;0.0882383991168522;0.0882383991168522;0.0882383991168522;0.0882383991168522;0.0882383991168522;0.0882383991168522;0.0882383991168522;0.0882383991168522;0.0882383991168522;0.0882383991168522;0.0882383991168522;0.0882383991168522;0.0882383991168522
"EX_7dclr(e)";0.0627530132049042;0.0671285419538926;0.0723249065709709;0.0775212711880491;0.0827176358051274;0.0879140004222057;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702
"EX_L-args(e)";0.064854662163533;0.0692301909125215;0.0744265555295998;0.079622920146678;0.0848192847637562;0.0900156493808345;0.0903297965884127;0.0903297965884127;0.0903297965884127;0.0903297965884127;0.0903297965884127;0.0903297965884127;0.0903297965884127;0.0903297965884127;0.0903297965884127;0.0903297965884127;0.0903297965884127;0.0903297965884127;0.0903297965884127;0.0903297965884127;0.0903297965884127
"EX_L-cit(e)";0.0627530132049042;0.0671285419538926;0.0723249065709709;0.0775212711880492;0.0827176358051274;0.0879140004222056;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702;0.0882549284554702
